,ticker,volume
409,AYEP,9952.855015673982
1001,AYEU,9772.384905660378
501,TCBT,9761.865264797509
452,VNRA,9754.300079176564
99,OM3H,9705.98495645289
566,IQQF,9672.490491283677
743,IUME,9577.566893424037
766,WPAB,9500.302150537635
260,XDDX,9465.989811912226
666,10A2,9453.971984435797
946,TABC,9441.473473473474
972,EXH3,9438.243730407523
438,GASF,9413.675911251981
185,LYX7,9398.67775138559
107,V3RE,9298.19540229885
176,SYBG,9217.47901821061
36,VECA,9216.648119122257
560,VDIV,9116.273364485982
823,HNSC,9087.158333333333
892,WELU,9031.539007092199
461,H412,9015.544091710759
128,XB4F,9007.764106583072
665,ZSRI,8921.85971786834
924,ETLH,8869.869358669834
94,VDTE,8861.38383838384
437,IQQI,8824.023771790808
38,D5BG,8819.297805642633
684,36B2,8793.2492211838
276,SPYJ,8671.823436262866
468,XGDE,8645.759963768116
79,SPFE,8605.993730407523
1019,WTEM,8571.94853523357
803,EWRD,8544.789105058366
435,VGER,8513.728840125392
335,FYEQ,8476.665083135393
741,MVEA,8427.54292929293
258,LYY7,8378.246865203762
311,V50D,8363.355642023347
821,WTI2,8356.839271575614
563,XAXJ,8269.950118764846
943,T3KE,8249.194774346794
567,IS3Z,8216.390651085141
202,SYBR,8153.0918448139355
39,XEC1,8135.500622665007
317,S6X0,8082.358934169279
994,SELD,8037.262376237623
814,EQQB,8020.139622641509
58,LYQ2,8019.40862745098
659,QDVV,8004.14172604909
908,ZPDM,7979.499604117182
753,ZPRU,7930.258115597783
847,XZEW,7920.338645418326
704,APJX,7793.350785340314
896,SPYV,7753.720506730008
787,XDWI,7749.074425969913
631,DBXA,7739.570071258908
102,EDMA,7727.842438638163
871,XDPU,7632.589825119237
959,AE50,7612.460700389105
236,PJSC,7513.866983372922
27,SYBA,7477.913793103448
404,H4ZL,7469.301662707839
4,EXXX,7441.122257053292
374,H4Z2,7439.731729879741
105,XGBE,7428.605889014722
340,FGEU,7364.210815047022
675,36BH,7339.9928684627575
754,XPAN,7290.34375
494,TGBT,7277.795950155763
416,D5BK,7264.431512272367
118,ECR3,7252.011914217633
764,HPAW,7175.508158508159
970,AME6,7168.036575875486
89,VUCP,7155.805225653206
362,DBXY,7146.365003958828
834,OPEN,7120.690419635788
813,EQQQ,7095.4447058823525
989,EXH8,7036.757053291536
726,XUCS,6990.541567695962
507,IS3F,6969.216152019002
815,XNAS,6951.322051282052
768,LYPB,6894.965014577259
499,XQUE,6768.270376175548
272,IQQX,6761.561806656101
559,EXID,6714.199134199134
736,IUSF,6698.135391923991
26,SYB3,6694.78605015674
249,BNXG,6612.739509105305
524,CL0U,6573.495495495496
408,IQQ4,6572.628865979382
596,LEER,6561.228015564202
841,XRS2,6520.47901821061
971,EXH2,6429.580721003134
995,EL4D,6407.55485893417
555,DX2D,6407.525862068966
388,H413,6406.745598591549
854,SPY1,6404.382422802851
848,WELE,6345.087962962963
518,SXRM,6294.6949286846275
45,SXRN,6257.973079968329
954,H3R0,6231.434738955823
760,XDWL,6208.692551505546
131,ASRT,6205.635294117647
722,XD9D,6197.212121212121
703,EUNJ,6104.036421219319
287,EXX5,6097.48197492163
380,VGVF,6067.684085510688
849,5ESG,5969.536013400335
168,SPPS,5965.618975903614
694,IQQK,5948.205229793978
794,UEEH,5906.063985374772
958,CBUV,5879.529527559055
558,NUKL,5850.023809523809
471,TRET,5846.7842679127725
711,UFMB,5842.653474054529
479,EUIN,5838.329182879377
678,UFMA,5830.780918727915
923,ETLR,5756.099127676447
1012,W1TA,5738.556109725686
106,IS0Y,5732.286619160728
201,9V60,5716.8899445764055
451,DBXI,5689.896551724138
462,DXS7,5682.774346793349
701,H4ZH,5674.722090261283
326,IQQM,5670.39746634996
364,LYTG,5617.869358669834
759,LYYA,5598.851361867704
589,EMSM,5576.946159936659
170,SYBK,5576.555819477435
337,FEUI,5531.908946951702
634,SPYT,5492.458365758755
820,QCLN,5420.729793977813
253,EL4X,5417.004702194357
391,VFEA,5403.923198733175
91,VUSC,5401.302454473476
92,VAGE,5368.224137931034
222,IUS5,5289.837688044339
127,XB4D,5210.912826899128
80,SPFF,5150.899176954733
805,XDWU,5113.55423594616
243,DX2G,4899.845611285266
175,VGUE,4844.670642201835
500,AYEN,4810.762809917355
1006,BCFU,4749.560570071259
928,AW1A,4748.481774960381
56,IBCI,4736.773364485981
715,CUIK,4713.255729794933
448,X13H,4640.070038910506
